@relation code_style-weka.filters.unsupervised.attribute.Standardize

@attribute maxLineLength numeric
@attribute avgIndentation numeric
@attribute variableCount numeric
@attribute functionCount numeric
@attribute commentCount numeric
@attribute stringCount numeric
@attribute keywordCount numeric
@attribute levensteinDistance numeric
@attribute containsTODO numeric
@attribute containsFIXME numeric
@attribute class {good,poor}

@data
-0.718425,1.263721,1.14401,1.256739,1.280482,1.203942,1.112795,-0.609287,-0.963624,-0.609449,good
-0.488529,0.043577,-0.366947,-0.44594,-0.29204,0.150493,-0.241912,-0.608421,0.963624,1.523624,poor
-0.7759,1.263721,0.539627,0.68918,0.808726,0.150493,0.435442,-0.608854,-0.963624,-0.609449,good
-0.258633,-0.566496,-0.971329,-1.013499,-0.606544,-0.902957,-0.919266,-0.607987,0.963624,-0.609449,poor
-0.660951,0.653649,1.748393,1.824299,1.752239,2.257392,1.790149,-0.609287,-0.963624,-0.609449,good
-0.603477,0.043577,-0.064755,0.12162,-0.134788,0.150493,0.029029,-0.608594,-0.963624,1.523624,poor
-0.833374,1.263721,0.841819,0.68918,0.494221,0.150493,0.841854,-0.609114,-0.963624,-0.609449,good
-0.373581,-0.566496,-0.669138,-0.44594,-0.449292,-0.902957,-0.512854,-0.608247,0.963624,1.523624,poor
-0.718425,1.263721,1.446202,1.256739,1.437735,1.203942,1.383737,-0.609287,-0.963624,-0.609449,good
-0.546003,0.043577,0.237436,0.12162,0.022465,0.150493,0.299971,-0.608507,-0.963624,1.523624,poor
1.35064,-1.176568,-0.971329,-1.013499,-1.078301,-0.902957,-1.054737,1.417894,0.963624,-0.609449,poor
1.810432,-1.176568,-1.273521,-1.013499,-1.078301,-0.902957,-1.190207,1.556564,0.963624,-0.609449,poor
1.235692,-1.176568,-0.669138,-1.013499,-1.078301,-0.902957,-0.919266,1.469896,0.963624,-0.609449,poor
1.580536,-1.176568,-0.971329,-1.013499,-1.078301,-0.902957,-1.054737,1.643233,0.963624,-0.609449,poor
